time_s;speed_kmh;soc_%;P_bar
178.500000;26.938776;97.142598;142.893912
178.600000;26.326531;97.144663;142.898849
178.700000;25.714286;97.146668;142.903651
178.800000;25.102041;97.148614;142.908316
178.900000;24.489796;97.150502;142.912845
179.000000;23.877551;97.152331;142.917237
179.100000;23.265306;97.154103;142.921493
179.200000;22.653061;97.155818;142.925611
179.300000;22.040816;97.157476;142.929592
179.400000;21.428571;97.159079;142.933435
179.500000;20.816327;97.160626;142.937140
179.600000;20.204082;97.162118;142.940708
179.700000;19.591837;97.163556;142.944137
179.800000;18.979592;97.164940;142.947427
179.900000;18.367347;97.166271;142.950579
180.000000;17.755102;97.167549;142.953592
180.100000;17.142857;97.168775;142.956466
180.200000;16.530612;97.169949;142.959201
180.300000;15.918367;97.171072;142.961797
180.400000;15.306122;97.172145;142.964253
180.500000;14.693878;97.173168;142.966569
180.600000;14.081633;97.174141;142.968746
180.700000;13.469388;97.175066;142.970783
180.800000;12.857143;97.175942;142.972679
180.900000;12.244898;97.176771;142.974435
181.000000;11.632653;97.177553;142.976051
181.100000;11.020408;97.178288;142.977527
181.200000;10.408163;97.178980;142.978862
181.300000;9.795918;97.179632;142.980056
181.400000;9.183673;97.180243;142.981109
181.500000;8.571429;97.180813;142.982022
181.600000;7.959184;97.181343;142.982793
181.700000;7.346939;97.181832;142.983424
181.800000;6.734694;97.182280;142.983913
181.900000;6.122449;97.182688;142.984261
182.000000;5.510204;97.183055;142.984468
182.100000;4.897959;97.183381;142.984534
182.200000;4.285714;97.183667;142.984459
182.300000;3.673469;97.183912;142.984242
182.400000;3.061224;97.184116;142.983883
182.500000;2.448980;97.184279;142.983383
182.600000;1.836735;97.184401;142.982742
182.700000;1.224490;97.184483;142.981960
182.800000;0.612245;97.184524;142.981035
182.900000;0.000000;97.184524;142.979971
183.000000;0.000000;97.184524;142.978905
183.100000;0.000000;97.184524;142.977839
183.200000;0.000000;97.184524;142.976774
183.300000;0.000000;97.184524;142.975708
183.400000;0.000000;97.184524;142.974642
183.500000;0.000000;97.184524;142.973577
183.600000;0.000000;97.184524;142.972511
183.700000;0.000000;97.184523;142.971445
183.800000;0.000000;97.184523;142.970379
183.900000;0.000000;97.184523;142.969313
184.000000;0.000000;97.184523;142.968248
184.100000;0.000000;97.184523;142.967182
